,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5057726775403539,-1.0,1753.3776,1753.3776,1813.2075,1813.2075,0.6769114,0.17403333,0.17403333,0.1819,0.17348333,0.17348333,0.1792,0.6621266223340693
alpha_post=3833.6586254776325/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5485042461214293,-1.0,1325.6492,5244.4204,458.33035,1813.2075,0.86735755,0.34366667,0.34366667,0.3546,0.17348333,0.17348333,0.1792,0.819460383390021
alpha_post=244.94897427831785/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5671725885031451,-1.0,89.760796,5557.678,29.2847,1813.2075,0.91544485,0.38291666,0.38291666,0.3839,0.17348333,0.17348333,0.1792,0.8499274191638171
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1078323,6456.3662109375,1757.7754,0.0,8214.142,0.0,0.40713185,0.17493333,-1.0,0.1862,-1.0,-1.0,-1.0,0.3887906773090874
alpha_post=969.0463085136714/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5448701732812156,-1.0,275.97067,4319.1743,115.853645,1813.2075,0.82196987,0.30001667,0.30001667,0.3013,0.17348333,0.17348333,0.1792,0.787477192081627
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.02975709,879.4873046875,3007.5442,883.3387,4112.586,1108.8932,0.27277765,0.1508,0.16073333,0.1629,0.20733333,0.20283334,0.2105,0.250939053769198
alpha_post=244.94897427831785/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,2.43483465909958,-1.0,112.15741,27472.842,5.2641206,1289.4409,1.571483,0.46811667,0.46811667,0.466,0.023366667,0.023366667,0.0232,0.9971902327834424
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0022884372,55.427734375,1135.0017,1165.6835,1133.6392,1108.8932,0.2346263,0.2008,0.2049,0.2077,0.20733333,0.20283334,0.2105,0.2287898294685717
alpha_post=15166.394348316875/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,2.0210926458239564,-1.0,1753.3776,6936.563,1329.8531,5261.052,1.1792926,0.17403333,0.17403333,0.1819,0.13133334,0.13133334,0.1432,0.9500009293571842
alpha_post=244.94897427831785/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1277886208492544,-1.0,112.15741,1755.3584,222.92014,3488.8887,0.7208899,0.46811667,0.46811667,0.466,0.90965,0.90965,0.9108,0.7101456408350708
